 CODICE_IVASS;TIPO_ALBO;DATA_ISCRIZIONE_ALBO_ELENCO;DATA_CANCELLAZIONE_ALBO_ELENCO;DENOMINAZIONE_IMPRESA;CODICE_FISCALE;CLASSIFICAZIONE;INDIRIZZO_SEDE_LEGALE_RAPPRESENTANZA_IN_ITALIA;INDIRIZZO_DIREZIONE_GENERALE;INDIRIZZO_CASA_MADRE;TIPO_LAVORO;PEC
D847R;Elenco I - imprese di assicurazione con sede legale in un altro Stato membro ammesse ad operare in Italia in regime di stabilimento;2008-01-03;9999-12-31;AZIMUT LIFE DAC;0000004316120965;IMPRESA SEE CHE OPERA IN STABILIMENTO;VIA CUSANI, 4  20121 MILANO;;;VITA;AZLIFE@LEGALMAIL.IT
D964R;Elenco I - imprese di assicurazione con sede legale in un altro Stato membro ammesse ad operare in Italia in regime di stabilimento;2019-03-15;9999-12-31;BERKSHIRE HATHAWAY EUROPEAN INSURANCE DAC;0000010799540967;IMPRESA SEE CHE OPERA IN STABILIMENTO;CORSO ITALIA, 13   20122 MILANO;;;DANNI;BHEI-ITALIA@LEGALMAIL.IT
D882R;Elenco I - imprese di assicurazione con sede legale in un altro Stato membro ammesse ad operare in Italia in regime di stabilimento;2010-01-18;9999-12-31;CACI LIFE DAC;0000007111890963;IMPRESA SEE CHE OPERA IN STABILIMENTO;PIAZZA CAVOUR, 2  20121 MILANO;;;VITA;CACILIFE@LEGALMAIL.IT
D883R;Elenco I - imprese di assicurazione con sede legale in un altro Stato membro ammesse ad operare in Italia in regime di stabilimento;2010-01-18;9999-12-31;CACI NON LIFE DAC;0000007111900960;IMPRESA SEE CHE OPERA IN STABILIMENTO;PIAZZA CAVOUR, 2  20121 MILANO;;;DANNI;CACINONLIFE@LEGALMAIL.IT
C331R;Elenco I - imprese di assicurazione con sede legale in un altro Stato membro ammesse ad operare in Italia in regime di stabilimento;2008-01-03;9999-12-31;CARDIF ASSURANCE VIE S.A.;0000008916510152;IMPRESA SEE CHE OPERA IN STABILIMENTO;PIAZZA BO BARDI, 3  20124 MILANO;;;VITA;CARDIFVIE@PEC.CARDIF.IT
C332R;Elenco I - imprese di assicurazione con sede legale in un altro Stato membro ammesse ad operare in Italia in regime di stabilimento;2008-01-03;9999-12-31;CARDIF ASSURANCES RISQUES DIVERS S.A.;0000008916500153;IMPRESA SEE CHE OPERA IN STABILIMENTO;PIAZZA BO BARDI,3  20124 MILANO;;;DANNI;CARDIFRD@PEC.CARDIF.IT
D835R;Elenco I - imprese di assicurazione con sede legale in un altro Stato membro ammesse ad operare in Italia in regime di stabilimento;2008-01-03;9999-12-31;CG CAR-GARANTIE VERSICHERUNGS-AKTIENGESELLSCHAFT;0000003263290235;IMPRESA SEE CHE OPERA IN STABILIMENTO;VIA G. MARCONI, 2  37029 SAN PIETRO IN CARIANO;;;DANNI;CARGARANTIE-AG@PEC-MAIL.IT
D912R;Elenco I - imprese di assicurazione con sede legale in un altro Stato membro ammesse ad operare in Italia in regime di stabilimento;2012-11-21;9999-12-31;CGPA EUROPE S.A.;0000012140021002;IMPRESA SEE CHE OPERA IN STABILIMENTO;LARGO CASTELLO, 28  44121 FERRARA;;;DANNI;SINISTRICGPA@PEC.IT
D957R;Elenco I - imprese di assicurazione con sede legale in un altro Stato membro ammesse ad operare in Italia in regime di stabilimento;2019-01-11;9999-12-31;CHUBB EUROPEAN GROUP SE;0000004124720964;IMPRESA SEE CHE OPERA IN STABILIMENTO;VIA FABIO FILZI 29  20124 MILANO;;;DANNI;ITALY@PEC.CHUBB.COM
D958R;Elenco I - imprese di assicurazione con sede legale in un altro Stato membro ammesse ad operare in Italia in regime di stabilimento;2019-01-11;9999-12-31;CHUBB LIFE EUROPE SE, RAPPRESENTANZA GENERALE PER L’ITALIA;0000005916740961;IMPRESA SEE CHE OPERA IN STABILIMENTO;VIA FABIO FILZI 29  20124 MILANO;;;PICCOLO CUMULO;ACELIFE.ITALY@PEC.ACEGROUP.COM
D812R;Elenco I - imprese di assicurazione con sede legale in un altro Stato membro ammesse ad operare in Italia in regime di stabilimento;2008-01-03;9999-12-31;CIGNA LIFE INSURANCE COMPANY OF EUROPE S.A.;0000004104721008;IMPRESA SEE CHE OPERA IN STABILIMENTO;VIA SANTA MARIA VALLE 3  20123 MILANO;;;PICCOLO CUMULO;04104721008RI@LEGALMAIL.IT
D955R;Elenco I - imprese di assicurazione con sede legale in un altro Stato membro ammesse ad operare in Italia in regime di stabilimento;2018-11-23;9999-12-31;CNA INSURANCE COMPANY (EUROPE) S.A.;0000010540890968;IMPRESA SEE CHE OPERA IN STABILIMENTO;VIA ALBRICCI, 8  20122 MILANO;;;DANNI;CNA.CICE@LEGALMAIL.IT
D845R;Elenco I - imprese di assicurazione con sede legale in un altro Stato membro ammesse ad operare in Italia in regime di stabilimento;2008-01-03;9999-12-31;CNP ASSURANCES S.A.;0000004341440966;IMPRESA SEE CHE OPERA IN STABILIMENTO;VIA BOCCHETTO, 6  20123 MILANO;;;PICCOLO CUMULO;CNP@PEC.CNPITALIA.IT
D928R;Elenco I - imprese di assicurazione con sede legale in un altro Stato membro ammesse ad operare in Italia in regime di stabilimento;2015-09-17;9999-12-31;CNP CAUTION S.A.;0000009244420965;IMPRESA SEE CHE OPERA IN STABILIMENTO;VIA BOCCHETTO, 6  20123 MILANO;;;DANNI;CNPCAUTION@PEC.CNPCAUTION.IT
D897R;Elenco I - imprese di assicurazione con sede legale in un altro Stato membro ammesse ad operare in Italia in regime di stabilimento;2011-08-25;9999-12-31;CNP SANTANDER INSURANCE EUROPE DESIGNATED ACTIVITY COMPANY;0000010582050018;IMPRESA SEE CHE OPERA IN STABILIMENTO;CORSO MASSIMO D'AZEGLIO 33/E  10126 TORINO;;;DANNI;SANTANDER-INSURANCEEUROPE@LEGALMAIL.IT
D898R;Elenco I - imprese di assicurazione con sede legale in un altro Stato membro ammesse ad operare in Italia in regime di stabilimento;2011-08-25;9999-12-31;CNP SANTANDER INSURANCE LIFE DESIGNATED ACTIVITY COMPANY;0000010582090014;IMPRESA SEE CHE OPERA IN STABILIMENTO;CORSO MASSIMO D'AZEGLIO 33/E  10126 TORINO;;;VITA;santander-insurancelife@legalmail.it
D908R;Elenco I - imprese di assicurazione con sede legale in un altro Stato membro ammesse ad operare in Italia in regime di stabilimento;2012-07-27;9999-12-31;COMPAGNIE FRANÇAISE D'ASSURANCE POUR LE COMMERCE EXTÉRIEUR S.A. (COFACE);0000009448210154;IMPRESA SEE CHE OPERA IN STABILIMENTO;VIA LORENTEGGIO, 240  20147 MILANO;;;DANNI;COFACE@PEC.COFACE.IT
D916R;Elenco I - imprese di assicurazione con sede legale in un altro Stato membro ammesse ad operare in Italia in regime di stabilimento;2013-07-30;9999-12-31;CREDENDO - SHORT-TERM NON-EU RISKS SA;0000008378740966;IMPRESA SEE CHE OPERA IN STABILIMENTO;VIA VITRUVIO, 38  20124 MILANO;;;DANNI;TRADECREDIT@LEGALMAIL.IT
D856R;Elenco I - imprese di assicurazione con sede legale in un altro Stato membro ammesse ad operare in Italia in regime di stabilimento;2008-01-03;9999-12-31;CREDENDO – GUARANTEES & SPECIALITY RISKS;0000003262690161;IMPRESA SEE CHE OPERA IN STABILIMENTO;VIA VITRUVIO,38  24124 MILANO;;;DANNI;CREDENDO@LEGALMAIL.IT
D977R;Elenco I - imprese di assicurazione con sede legale in un altro Stato membro ammesse ad operare in Italia in regime di stabilimento;2021-03-12;9999-12-31;DARAG DEUTSCHLAND AG; ;IMPRESA SEE CHE OPERA IN STABILIMENTO;VIALE ISONZO, 25  20135 MILANO;;HERMANNSTRASSE, 15 EUROPA - PASSAGE (20095)  AMBURGO GERMANIA;DANNI;darag@legalmail.it
D970R;Elenco I - imprese di assicurazione con sede legale in un altro Stato membro ammesse ad operare in Italia in regime di stabilimento;2019-09-04;9999-12-31;DOMESTIC & GENERAL INSURANCE EUROPE AG;0000010909710963;IMPRESA SEE CHE OPERA IN STABILIMENTO;VIA GOBETTI, 2/C - CERNUSCO SUL NAVIGLIO  20063 MILANO;;;DANNI;DOMESTICGENERALINSURANCE_ITALIA@PEC.IT
D932R;Elenco I - imprese di assicurazione con sede legale in un altro Stato membro ammesse ad operare in Italia in regime di stabilimento;2015-12-04;9999-12-31;ELIPS LIFE LTD;0000013733431004;IMPRESA SEE CHE OPERA IN STABILIMENTO;VIA SAN PROSPERO,1  20121 MILANO;;;PICCOLO CUMULO;ELIPSLIFE@PEC.ELIPSLIFE.COM
D871R;Elenco I - imprese di assicurazione con sede legale in un altro Stato membro ammesse ad operare in Italia in regime di stabilimento;2008-01-03;9999-12-31;ERGO REISEVERSICHERUNG AG;0000005856020960;IMPRESA SEE CHE OPERA IN STABILIMENTO;VIA POLA 9  20124 MILANO;;;DANNI;ERV-ITALIA@LEGALMAIL.IT
D900R;Elenco I - imprese di assicurazione con sede legale in un altro Stato membro ammesse ad operare in Italia in regime di stabilimento;2011-10-10;9999-12-31;EULER HERMES SA/NV;0000011584211004;IMPRESA SEE CHE OPERA IN STABILIMENTO;VIA RAFFAELLO MATARAZZO, 19  00139 ROMA;;;DANNI;EULERHERMES@PEC.EULERHERMES.IT
D943R;Elenco I - imprese di assicurazione con sede legale in un altro Stato membro ammesse ad operare in Italia in regime di stabilimento;2017-07-04;9999-12-31;FM INSURANCE EUROPE S.A.;0000010010560968;IMPRESA SEE CHE OPERA IN STABILIMENTO;VIA MIKE BUONGIORNO 13  20124 MILANO;;;DANNI;FMINSURANCEEUROPESA@LEGALMAIL.IT
D864R;Elenco I - imprese di assicurazione con sede legale in un altro Stato membro ammesse ad operare in Italia in regime di stabilimento;2008-01-03;9999-12-31;FWU LIFE INSURANCE LUX S.A.;0000094093500216;IMPRESA SEE CHE OPERA IN STABILIMENTO;VIA ROBERTO LEPETIT, 8/10  20124 MILANO;;;VITA;FWULIFE@LEGALMAIL.IT
D980R;Elenco I - imprese di assicurazione con sede legale in un altro Stato membro ammesse ad operare in Italia in regime di stabilimento;2022-08-16;9999-12-31;GAMALIFE COMPANHIA DE SEGUROS DE VIDA, SA; ;IMPRESA SEE CHE OPERA IN STABILIMENTO;VIA BENIGNO CRESPI, 23  20159 MILANO;;;VITA;gamalife@pec.it
D978R;Elenco I - imprese di assicurazione con sede legale in un altro Stato membro ammesse ad operare in Italia in regime di stabilimento;2021-08-30;9999-12-31;GARTENBAU VERSICHERUNG VVAG; ;IMPRESA SEE CHE OPERA IN STABILIMENTO;VIALE DEL COMMERCIO, 47  37135 VERONA;;VON FRERICHS STRASSE 8 - 65191  WIESBADEN GERMANIA;DANNI;gartenbau_hortisecur@pec.it
D894R;Elenco I - imprese di assicurazione con sede legale in un altro Stato membro ammesse ad operare in Italia in regime di stabilimento;2011-03-15;9999-12-31;GREAT LAKES INSURANCE SE;0000007350040965;IMPRESA SEE CHE OPERA IN STABILIMENTO;VIA CALDERA, 21  20153 MILANO;;;DANNI;07350040965RI@LEGALMAIL.IT
D915R;Elenco I - imprese di assicurazione con sede legale in un altro Stato membro ammesse ad operare in Italia in regime di stabilimento;2013-01-24;9999-12-31;HARMONIE MUTUELLE;0000008186860964;IMPRESA SEE CHE OPERA IN STABILIMENTO;VIA PAPA LEONE XIII, 14  20154 MILANO;;;PICCOLO CUMULO;HARMONIEMUTUELLE@LEGALMAIL.IT
C218R;Elenco I - imprese di assicurazione con sede legale in un altro Stato membro ammesse ad operare in Italia in regime di stabilimento;2008-01-03;9999-12-31;HDI GLOBAL SE;0000003295070159;IMPRESA SEE CHE OPERA IN STABILIMENTO;VIA FRANCO RUSSOLI, 5  20143 MILANO;;;DANNI;HDI.GLOBAL@LEGALMAIL.IT
D924R;Elenco I - imprese di assicurazione con sede legale in un altro Stato membro ammesse ad operare in Italia in regime di stabilimento;2015-03-10;9999-12-31;HDI GLOBAL SPECIALTY SE;0000005396540964;IMPRESA SEE CHE OPERA IN STABILIMENTO;VIA FRANCO RUSSOLI 5  20143 MILANO;;;DANNI;05396540964RI@LEGALMAIL.IT
C399R;Elenco I - imprese di assicurazione con sede legale in un altro Stato membro ammesse ad operare in Italia in regime di stabilimento;2008-01-03;9999-12-31;INTER PARTNER ASSISTANCE SA;0000003420940151;IMPRESA SEE CHE OPERA IN STABILIMENTO;VIA CARLO PESENTI, 121  00156 ROMA;;;DANNI;COMUNICAZIONI.IVASS@PEC.IT
D973R;Elenco I - imprese di assicurazione con sede legale in un altro Stato membro ammesse ad operare in Italia in regime di stabilimento;2020-02-17;9999-12-31;IPTIQ EMEA P&C SA;0000011155540963;IMPRESA SEE CHE OPERA IN STABILIMENTO;PIAZZA VETRA 17  20123 MILANO;;;DANNI;iptiqemeasa@legalmail.it
D921R;Elenco I - imprese di assicurazione con sede legale in un altro Stato membro ammesse ad operare in Italia in regime di stabilimento;2014-03-06;9999-12-31;LA MONDIALE EUROPARTNER S.A.;0000008366380965;IMPRESA SEE CHE OPERA IN STABILIMENTO;FORO BONAPARTE, 12  20121 MILANO;;;VITA;LAMONDIALEEUROPARTNER@LEGALMAIL.IT
D963R;Elenco I - imprese di assicurazione con sede legale in un altro Stato membro ammesse ad operare in Italia in regime di stabilimento;2019-03-08;9999-12-31;LIBERTY MUTUAL INSURANCE EUROPE SE;0000007776640968;IMPRESA SEE CHE OPERA IN STABILIMENTO;TIME BUILDING, VIA FABIO FILZI 29  20124 MILANO;;;DANNI;LIBERTYITALIA@LEGALMAIL.IT
D952R;Elenco I - imprese di assicurazione con sede legale in un altro Stato membro ammesse ad operare in Italia in regime di stabilimento;2018-08-01;9999-12-31;LLOYD'S INSURANCE COMPANY SA;0000010548370963;IMPRESA SEE CHE OPERA IN STABILIMENTO;CORSO GARIBALDI 86  20121 MILANO;;;DANNI;LLOYDSBRUSSELS.ITALIA@PEC.LLOYDS.COM
D922R;Elenco I - imprese di assicurazione con sede legale in un altro Stato membro ammesse ad operare in Italia in regime di stabilimento;2014-03-17;9999-12-31;LOMBARD INTERNATIONAL ASSURANCE SA;0000008441540963;IMPRESA SEE CHE OPERA IN STABILIMENTO;PIAZZA SAN MARCO, 3  20121 MILANO;;;VITA;LOMBARDINTERNATIONALASSURANCE@LEGALMAIL.IT
D840R;Elenco I - imprese di assicurazione con sede legale in un altro Stato membro ammesse ad operare in Italia in regime di stabilimento;2008-01-03;9999-12-31;MAPFRE ASISTENCIA, COMPAÑIA INTERNATIONAL DE SEGUROS Y REASEGUROS, S.A.;0000002114590025;IMPRESA SEE CHE OPERA IN STABILIMENTO;STRADA TROSSI, 66  13871 VERRONE;;;DANNI;info@cert.mapfreasistencia.it
D839R;Elenco I - imprese di assicurazione con sede legale in un altro Stato membro ammesse ad operare in Italia in regime di stabilimento;2008-01-03;9999-12-31;MEDIOLANUM INTERNATIONAL LIFE DAC;0000003952590960;IMPRESA SEE CHE OPERA IN STABILIMENTO;VIA F. SFORZA PAL. FERMI MILANO 3  20079 BASIGLIO;;;VITA;rappresentanzamill@pec.mediolanum.it
D918R;Elenco I - imprese di assicurazione con sede legale in un altro Stato membro ammesse ad operare in Italia in regime di stabilimento;2013-11-26;9999-12-31;MEDVIDA PARTNERS DE SEGUROS Y REASEGUROS S.A. (SOCIEDAD UNIPERSONAL);0000008595960967;IMPRESA SEE CHE OPERA IN STABILIMENTO;VIA ALBERICO ALBRICCI, 7  20122 MILANO;;;MISTA;medvidapartners@pec.it
D911R;Elenco I - imprese di assicurazione con sede legale in un altro Stato membro ammesse ad operare in Italia in regime di stabilimento;2012-10-10;9999-12-31;METLIFE EUROPE DESIGNATED ACTIVITY COMPANY;0000012083481007;IMPRESA SEE CHE OPERA IN STABILIMENTO;VIA ANDREA VESALIO, 6  00161 ROMA;;;PICCOLO CUMULO;MEL-ITALIA@LEGALMAIL.IT
D910R;Elenco I - imprese di assicurazione con sede legale in un altro Stato membro ammesse ad operare in Italia in regime di stabilimento;2012-10-10;9999-12-31;METLIFE EUROPE INSURANCE DESIGNATED ACTIVITY COMPANY;0000012083681002;IMPRESA SEE CHE OPERA IN STABILIMENTO;VIA ANDREA VESALIO, 6  00100 ROMA;;;DANNI;MEIL-ITALIA@LEGALMAIL.IT
D830R;Elenco I - imprese di assicurazione con sede legale in un altro Stato membro ammesse ad operare in Italia in regime di stabilimento;2008-01-03;9999-12-31;MONUMENT ASSURANCE LUXEMBOURG S.A.;0000002189370303;IMPRESA SEE CHE OPERA IN STABILIMENTO;VIALE MONZA, 265  20126 MILANO;;;VITA;MONUMENT@LEGALMAIL.IT
D919R;Elenco I - imprese di assicurazione con sede legale in un altro Stato membro ammesse ad operare in Italia in regime di stabilimento;2013-12-10;9999-12-31;MSIG INSURANCE EUROPE AG;0000008422260961;IMPRESA SEE CHE OPERA IN STABILIMENTO;VIA FORO BUONAPARTE, 63  20121 MILANO;;;DANNI;MSIG@LEGALMAIL.IT
D849R;Elenco I - imprese di assicurazione con sede legale in un altro Stato membro ammesse ad operare in Italia in regime di stabilimento;2008-01-03;9999-12-31;OCTIUM ASSURANCE AG;0000004502630967;IMPRESA SEE CHE OPERA IN STABILIMENTO;CORSO GIACOMO MATTEOTTI, 1  20121 MILANO;;;VITA;CSLP@LEGALMAIL.IT
D960R;Elenco I - imprese di assicurazione con sede legale in un altro Stato membro ammesse ad operare in Italia in regime di stabilimento;2019-02-15;9999-12-31;ONIX ASIGURARI S.A.;0000015200201000;IMPRESA SEE CHE OPERA IN STABILIMENTO;VIA VENETO, 7, 1ST FLOOR  00187 ROMA;;;DANNI;ONIXASIGURARI@LEGALMAIL.IT
D942R;Elenco I - imprese di assicurazione con sede legale in un altro Stato membro ammesse ad operare in Italia in regime di stabilimento;2017-04-12;9999-12-31;OPTEVEN ASSURANCES S.A.;0000009915270962;IMPRESA SEE CHE OPERA IN STABILIMENTO;VIA ENRICO TAZZOLI 6  20154 MILANO;;;DANNI;OPTEVEN_ASSURANCES@LEGALMAIL.IT
D948R;Elenco I - imprese di assicurazione con sede legale in un altro Stato membro ammesse ad operare in Italia in regime di stabilimento;2018-07-19;9999-12-31;QBE EUROPE SA/NV;0000010532190963;IMPRESA SEE CHE OPERA IN STABILIMENTO;VIA MELCHIORRE GIOIA 8  20124 MILANO;;;DANNI;UFFICIO.COMMERCIALE@CERT.IT.QBE.COM
D811R;Elenco I - imprese di assicurazione con sede legale in un altro Stato membro ammesse ad operare in Italia in regime di stabilimento;1997-01-01;9999-12-31;R+V ALLGEMEINE VERSICHERUNG AG;0000091536950156;IMPRESA SEE CHE OPERA IN STABILIMENTO;VIA GIOVANNI SPADOLINI, 7 CENTRO LEONI PALAZZO B  20141 MILANO;;;DANNI;ruv-italia@legalmail.it
D945R;Elenco I - imprese di assicurazione con sede legale in un altro Stato membro ammesse ad operare in Italia in regime di stabilimento;2017-09-29;9999-12-31;REAL GARANT VERSICHERUNG AKTIENGESELLSCHAFT;0000010122640963;IMPRESA SEE CHE OPERA IN STABILIMENTO;VIA ENRICO FERMI 11/A  37135 VERONA;;;DANNI;REALGARANTVERSICHERUNGAG@PECIMPRESE.IT
D929R;Elenco I - imprese di assicurazione con sede legale in un altro Stato membro ammesse ad operare in Italia in regime di stabilimento;2015-09-30;9999-12-31;RELYENS MUTUAL INSURANCE;0000097843200581;IMPRESA SEE CHE OPERA IN STABILIMENTO;VIA CARLO IMBONATI 18  20159 MILANO;;;DANNI;relyens.ufficio@legalmail.it
D861R;Elenco I - imprese di assicurazione con sede legale in un altro Stato membro ammesse ad operare in Italia in regime di stabilimento;2008-01-03;9999-12-31;ROLAND RECHTSSCHUTZ VERSICHERUNG AG;0000005377040968;IMPRESA SEE CHE OPERA IN STABILIMENTO;VIA FRANCESCO GUICCIARDINI,6  20129 MILANO;;;DANNI;ROLANDAG@LEGALMAIL.IT
